sign,R,G,B
1,79,83,92
1,77,84,93
1,76,83,94
1,78,84,92
1,80,85,89
1,78,85,90
1,78,85,90
1,80,85,89
1,79,83,92
1,80,83,91
1,84,86,84
1,85,85,84
1,84,85,85
1,83,85,86
1,85,85,85
1,85,85,84
1,84,85,85
1,86,86,82
1,86,85,82
1,87,84,82
1,82,84,87
1,83,85,86
1,89,83,82
1,90,83,81
1,84,83,86
1,84,83,86
1,87,83,84
1,79,84,90
1,81,84,89
1,82,84,88
1,86,84,84
1,88,83,83
1,92,83,79
1,88,83,83
1,81,82,91
1,78,84,92
1,77,76,118
1,53,90,106
1,81,77,112
1,63,91,94
1,77,76,116
1,72,78,114
1,71,84,101
1,61,86,91
1,69,81,95
1,65,78,112
1,65,86,113
1,84,84,85
1,84,86,84
1,83,85,85
1,83,85,86
1,84,86,84
1,82,85,86
1,83,85,86
1,84,85,85
1,83,85,86
1,81,84,89
1,76,82,96
1,74,82,101
1,73,82,97
1,76,83,99
1,76,82,96
1,76,82,96
1,76,82,96
1,76,82,96
1,80,83,90
1,79,84,87
1,79,83,95
1,79,81,93
1,74,86,94
1,74,85,94
1,75,85,93
1,79,85,90
1,74,85,94
1,73,85,95
1,74,85,94
1,73,86,95
1,72,87,94
1,74,86,94
1,88,85,81
1,88,85,81
1,88,85,81
1,88,85,81
1,87,85,81
1,88,85,81
1,87,85,81
1,87,84,82
1,87,84,82
1,88,85,81
1,85,85,83
1,87,85,82
1,87,85,82
1,87,85,82
1,87,85,82
1,95,82,76
1,98,82,73
1,92,84,77
1,97,82,75
1,95,85,74
1,91,86,76
1,94,83,76
1,97,83,73
1,98,84,71
1,98,83,73
1,99,84,71
1,97,85,72
1,96,83,75
1,94,83,77
1,96,84,74
1,95,84,74
1,96,84,74
1,95,83,76
1,96,84,74
1,96,84,73
1,96,84,74
1,97,84,73
1,96,84,73
1,96,84,73
1,97,84,73
1,96,85,73
1,96,85,73
1,97,84,72
1,91,84,79
1,97,84,73
1,93,84,77
1,94,83,76
1,98,84,72
1,97,85,71
1,97,85,72
1,99,83,71
1,94,83,76
1,97,82,74
1,98,83,73
1,95,82,76
1,90,89,71
1,91,88,71
1,87,90,73
1,86,85,81
1,86,85,83
1,85,85,85
1,86,88,77
1,86,86,78
1,86,85,80
1,85,85,83
1,85,85,85
1,86,87,81
1,86,85,80
1,75,86,92
1,76,85,93
1,76,85,92
1,76,85,93
1,76,85,93
1,77,85,92
1,76,85,92
1,76,85,92
1,75,86,92
1,76,85,92
1,77,85,92
1,77,86,91
1,76,85,92
1,77,84,92
1,76,86,91
1,77,85,91
1,77,85,91
1,90,84,80
1,90,84,80
1,89,84,81
1,90,84,80
1,90,84,79
1,90,84,80
1,90,84,80
1,92,84,78
1,90,84,80
1,88,85,81
1,89,83,81
1,91,83,79
1,67,82,105
1,65,83,105
1,65,81,106
1,69,82,99
1,66,83,103
1,63,86,102
1,63,86,102
1,67,81,107
1,65,80,113
1,66,83,101
1,64,86,99
1,66,83,103
1,66,83,101
1,66,83,101
1,66,82,107
1,66,82,107
1,84,85,84
1,85,85,83
1,84,85,85
1,85,85,85
1,84,85,85
1,84,85,85
1,85,86,83
1,84,85,85
1,88,86,79
1,87,86,81
1,85,85,83
1,84,85,85
1,85,85,85
1,84,85,85
1,88,86,79
1,88,86,80
1,87,84,82
1,87,85,81
1,88,86,80
1,88,87,79
1,88,87,79
1,85,85,83
1,87,84,82
1,87,85,81
1,87,83,83
1,86,86,81
1,86,86,81
1,88,84,81
1,88,86,79
1,88,86,79
1,88,86,79
1,91,84,78
1,87,87,80
1,91,83,80
1,87,83,83
1,85,84,85
1,85,84,85
1,89,86,79
1,90,84,80
1,92,82,80
1,91,84,79
1,92,84,77
1,92,84,77
1,91,81,81
1,89,81,83
1,92,82,80
1,92,83,79
1,91,82,80
1,91,82,80
1,91,82,80
1,91,81,81
2,136,118,0
2,133,121,0
2,119,117,17
2,114,100,40
2,134,117,2
2,136,117,1
2,133,118,3
2,130,119,4
2,136,114,3
2,141,113,0
2,130,104,19
2,117,118,19
2,119,119,15
2,117,118,19
2,115,116,22
2,117,118,19
2,127,127,0
2,125,126,3
2,92,92,70
2,100,95,58
2,99,94,61
2,99,93,62
2,97,93,63
2,95,92,66
2,96,91,67
2,92,90,72
2,97,89,68
2,97,89,67
2,98,90,66
2,96,90,67
2,95,92,67
2,98,88,67
2,96,94,64
2,95,88,71
2,96,91,66
2,98,89,67
2,97,88,69
2,96,92,66
2,93,89,72
2,96,87,70
2,96,87,71
2,95,90,69
2,95,86,73
2,96,90,68
2,97,90,67
2,103,98,52
2,94,93,66
2,99,93,61
2,104,92,58
2,103,94,57
2,103,100,51
2,96,96,62
2,102,95,57
2,103,96,55
2,95,92,67
2,102,97,55
2,109,99,46
2,105,96,52
2,134,117,2
2,111,96,46
2,132,113,9
2,136,116,2
2,136,118,0
2,136,118,0
2,137,115,2
2,135,116,2
2,135,115,3
2,136,116,2
2,138,111,5
2,136,114,3
2,138,115,1
2,136,116,2
2,134,112,7
2,137,117,0
2,137,117,0
2,114,105,30
2,134,115,13
2,128,112,16
2,138,117,10
2,130,116,9
2,133,112,7
2,133,115,3
2,131,116,1
2,132,120,0
2,128,110,0
2,133,111,2
2,135,112,16
2,130,108,6
2,107,93,54
2,115,102,37
2,104,101,48
2,107,100,47
2,131,108,14
2,119,109,26
2,132,117,5
2,134,118,1
2,118,109,26
2,130,112,12
2,127,117,10
2,113,96,44
2,114,99,40
2,107,96,51
2,109,93,51
2,118,100,26
2,120,102,28
2,119,104,23
2,127,107,20
2,128,108,35
2,130,112,14
2,127,106,15
2,125,108,28
2,120,102,18
2,116,107,32
2,126,107,13
2,123,101,44
2,127,117,0
2,123,106,14
2,131,105,18
2,135,109,35
2,117,104,32
2,121,105,27
2,116,101,36
2,117,97,40
2,109,99,46
2,115,102,37
2,120,103,30
2,125,103,26
2,117,100,37
2,121,101,31
2,109,100,44
2,117,97,39
2,109,101,43
2,111,100,42
2,118,100,35
2,115,100,39
2,119,101,34
2,101,93,57
2,118,105,37
2,110,100,39
2,119,96,52
2,111,99,51
2,119,95,31
2,115,100,43
2,127,99,34
2,124,101,34
2,132,119,0
2,129,105,15
2,124,107,27
2,119,104,11
2,129,105,15
2,122,104,42
2,117,104,33
2,114,102,37
2,118,103,33
2,117,104,32
2,119,104,30
2,118,103,32
2,111,101,41
2,114,102,37
2,115,102,37
2,115,102,37
2,116,102,36
2,113,101,39
2,91,86,77
2,92,88,74
2,91,86,77
2,93,91,70
2,90,86,77
2,90,88,75
2,90,89,75
2,91,88,75
2,90,90,73
2,92,89,72
2,90,87,76
2,92,89,73
2,92,91,71
2,91,89,73
2,123,109,22
2,124,117,12
2,135,118,1
2,133,121,0
2,132,118,4
2,126,113,14
2,133,120,1
2,124,112,17
2,126,112,16
2,130,120,3
2,127,118,8
2,129,120,4
2,126,116,11
2,127,113,13
2,137,117,0
2,137,116,0
2,139,115,0
2,140,114,0
2,143,111,0
2,143,109,1
2,142,112,0
2,141,109,4
2,137,117,0
2,138,116,0
2,138,116,0
2,138,116,0
2,139,115,0
2,141,113,0
2,135,109,9
2,140,114,0
2,139,112,3
2,140,114,0
2,138,110,5
2,126,111,17
2,138,113,3
2,140,114,0
2,137,113,4
2,125,106,23
2,116,107,31
2,115,105,34
2,115,106,32
2,119,113,21
2,114,106,34
2,118,110,26
2,116,102,35
2,116,103,34
2,114,106,33
2,130,113,10
2,135,111,8
2,134,112,7
2,136,114,4
2,135,119,0
2,138,112,3
2,138,114,2
2,140,113,1
2,139,114,0
2,140,114,0
2,136,116,1
2,136,110,8
2,139,114,1
2,139,113,2
2,129,109,15
2,138,113,3
2,137,117,0
2,131,111,12
2,138,116,0
2,138,116,0
2,137,117,0
2,138,113,2
2,137,116,1
2,122,112,19
2,118,110,26
2,123,115,15
2,111,100,43
2,110,107,36
2,121,110,23
2,117,115,22
2,121,113,19
2,123,111,19
2,113,106,34
2,122,112,19
2,116,108,29
2,121,111,21
3,69,82,103
3,68,82,103
3,71,83,99
3,70,84,99
3,70,84,100
3,68,83,103
3,66,82,105
3,67,84,103
3,65,83,105
3,69,82,103
3,66,82,105
3,56,82,115
3,50,77,124
3,54,83,117
3,59,82,113
3,67,82,103
3,52,79,126
3,45,85,120
3,41,84,137
3,51,81,119
3,59,80,109
3,60,77,120
3,58,81,125
3,57,81,117
3,59,79,114
3,64,79,120
3,65,78,120
3,62,76,121
3,61,79,117
3,58,80,121
3,72,84,96
3,57,81,119
3,64,78,123
3,64,78,123
3,67,82,111
3,0,66,188
3,5,69,179
3,0,66,188
3,0,69,185
3,8,63,182
3,2,69,183
3,27,73,154
3,33,72,149
3,22,66,165
3,36,78,140
3,22,72,160
3,0,63,191
3,0,66,188
3,3,62,189
3,30,73,151
3,6,69,178
3,0,67,187
3,12,84,157
3,34,82,137
3,24,82,147
3,13,86,154
3,0,90,164
3,0,89,165
3,1,88,164
3,13,84,157
3,13,85,156
3,4,91,159
3,6,87,160
3,8,90,155
3,1,86,166
3,3,90,160
3,0,84,170
3,0,83,171
3,0,90,164
3,5,90,159
3,5,90,159
3,5,86,162
3,9,86,158
3,2,90,161
3,16,88,150
3,70,80,103
3,72,81,101
3,69,83,102
3,68,82,104
3,69,79,106
3,70,80,104
3,70,81,103
3,68,79,107
3,69,79,105
3,63,81,110
3,64,80,109
3,68,80,106
3,70,80,103
3,69,79,105
3,72,80,102
3,72,80,102
3,72,80,102
3,70,79,104
3,11,80,162
3,8,76,169
3,4,73,176
3,0,78,176
3,2,81,171
3,16,74,163
3,25,81,147
3,12,67,174
3,0,77,177
3,0,81,173
3,2,70,181
3,56,80,117
3,5,72,176
3,14,76,164
3,32,85,136
3,33,83,137
3,35,83,136
3,36,82,135
3,30,84,139
3,31,83,139
3,30,84,139
3,33,83,138
3,33,82,138
3,30,84,139
3,30,85,139
3,27,85,142
3,29,84,141
3,26,84,144
3,28,85,140
3,39,83,132
3,18,67,162
3,31,65,173
3,26,62,176
3,6,76,171
3,12,72,168
3,34,70,144
3,22,71,163
3,12,73,166
3,38,67,143
3,20,75,158
3,22,70,168
3,18,81,148
3,17,70,162
3,16,73,160
3,21,70,165
3,54,78,121
3,45,78,130
3,42,77,134
3,42,77,134
3,65,78,110
3,70,79,104
3,70,79,104
3,66,78,109
3,69,80,105
3,69,80,105
3,68,78,107
3,64,83,107
3,47,79,128
3,50,77,144
3,45,78,131
3,53,84,113
3,53,84,113
3,49,81,120
3,53,77,125
3,51,77,126
3,56,78,119
3,59,79,116
3,59,79,116
3,59,79,116
3,54,78,124
3,53,76,118
3,71,82,100
3,70,82,104
3,69,81,107
3,77,79,100
3,80,79,95
3,72,83,103
3,66,82,105
3,66,82,105
3,67,79,103
3,71,83,107
3,20,70,167
3,9,73,161
3,8,69,175
3,35,70,160
3,15,71,182
3,2,81,148
3,0,78,178
3,15,71,158
3,10,79,157
3,22,72,161
3,1,83,169
3,9,82,159
3,0,88,174
3,4,89,153
3,0,90,180
3,34,92,129
3,20,89,148
3,11,89,151
3,21,90,145
3,29,91,148
3,20,89,148
3,17,97,146
3,19,90,146
3,44,82,129
3,24,86,147
3,43,88,121
3,44,82,129
3,17,97,146
3,21,75,145
3,19,76,157
3,27,85,148
3,21,78,157
3,26,83,150
3,23,77,151
3,22,78,152
3,31,77,139
3,20,80,152
3,16,83,154
3,31,79,145
3,29,78,144
3,20,85,153
3,33,78,146
3,24,82,145
3,59,85,122
3,56,82,119
3,47,85,130
3,44,87,130
3,44,79,135
3,46,84,133
3,66,74,123
3,53,77,115
3,44,80,130
3,48,80,118
3,60,79,109
3,67,82,105
3,69,80,98
3,22,77,159
3,0,92,169
3,0,92,169
3,23,73,162
3,13,87,152
3,53,73,126
3,33,81,153
3,38,75,155
3,33,81,153
3,36,73,153
3,25,84,144
3,31,79,151
3,29,80,169
3,23,69,163
3,27,68,156
3,22,74,157
3,20,72,148
3,21,72,163
3,6,80,153
3,10,80,149
3,10,73,179
3,0,65,197
3,10,72,171
3,1,73,173
3,5,71,181
3,5,73,172
3,7,72,172
3,16,62,173
3,12,72,168
3,10,74,174
3,5,75,170
3,11,68,183
4,55,107,95
4,52,109,94
4,49,114,92
4,49,114,92
4,46,114,89
4,36,116,81
4,36,116,81
4,56,110,86
4,69,103,86
4,75,98,88
4,66,97,92
4,69,99,91
4,56,108,95
4,56,108,95
4,51,95,108
4,47,103,104
4,46,107,102
4,45,107,102
4,47,103,104
4,46,105,101
4,40,110,102
4,56,96,106
4,41,105,107
4,36,113,107
4,41,112,104
4,48,103,98
4,43,110,101
4,29,117,103
4,81,104,68
4,80,102,71
4,77,106,70
4,75,108,70
4,76,108,70
4,77,106,71
4,76,106,71
4,79,102,73
4,76,106,72
4,77,107,69
4,78,113,63
4,73,109,72
4,76,111,66
4,71,113,69
4,75,109,70
4,42,124,87
4,56,112,86
4,43,125,86
4,43,125,86
4,54,116,84
4,49,122,83
4,42,129,83
4,53,118,83
4,48,122,84
4,51,117,86
4,41,126,86
4,58,104,93
4,52,112,87
4,50,108,86
4,61,104,85
4,53,111,97
4,51,112,96
4,47,115,92
4,48,111,90
4,52,108,95
4,41,114,94
4,59,105,92
4,64,109,89
4,41,113,91
4,43,113,89
4,56,113,85
4,53,118,83
4,55,117,82
4,60,112,82
4,55,118,81
4,46,123,85
4,39,128,86
4,38,124,91
4,43,123,88
4,51,115,88
4,50,119,85
4,35,124,94
4,51,120,83
4,69,100,85
4,67,101,85
4,65,103,86
4,69,100,84
4,69,100,85
4,63,104,86
4,63,105,85
4,62,106,85
4,74,100,79
4,69,102,83
4,66,104,83
4,66,103,84
4,62,105,86
4,62,106,86
4,62,107,85
4,65,105,83
4,65,103,85
4,75,97,82
4,72,100,82
4,54,100,98
4,51,103,101
4,49,104,99
4,56,101,98
4,48,102,104
4,49,104,101
4,60,92,107
4,67,86,103
4,51,103,101
4,48,104,101
4,66,100,88
4,68,99,86
4,67,100,87
4,71,97,86
4,69,98,86
4,72,96,86
4,67,100,87
4,70,97,86
4,69,99,86
4,79,91,84
4,70,96,87
4,70,98,86
4,90,119,45
4,74,111,69
4,76,106,72
4,81,109,63
4,80,108,66
4,85,109,60
4,91,109,54
4,90,106,58
4,83,109,61
4,85,109,60
4,85,104,64
4,85,109,60
4,72,98,83
4,65,102,86
4,65,104,85
4,65,104,85
4,67,104,83
4,70,101,83
4,70,101,83
4,69,102,83
4,68,104,81
4,67,103,84
4,68,102,83
4,73,97,84
4,68,102,84
4,65,94,92
4,63,94,96
4,74,87,93
4,63,94,96
4,68,92,96
4,71,90,96
4,67,94,89
4,65,94,92
4,68,93,97
4,63,94,96
4,61,95,96
4,61,95,94
4,61,95,94
4,65,93,94
4,77,107,70
4,77,112,65
4,74,111,68
4,70,113,70
4,73,111,70
4,75,110,69
4,71,113,69
4,72,112,70
4,72,117,65
4,81,110,63
4,78,114,61
4,81,102,70
4,79,103,72
4,78,101,74
4,79,92,82
4,79,92,82
4,80,93,80
4,79,93,82
4,79,92,83
4,81,91,83
4,81,90,83
4,85,85,84
4,78,93,83
4,79,94,80
4,79,94,80
4,81,96,76
4,78,96,79
4,76,97,81
4,79,90,84
4,73,96,88
4,72,98,87
4,75,99,86
4,71,98,89
4,73,97,81
4,74,94,85
4,76,90,90
4,79,95,84
4,68,98,86
4,67,99,84
4,74,98,84
4,75,97,84
4,77,95,83
4,71,92,83
4,73,93,84
4,70,97,82
4,64,92,103
4,62,92,100
4,62,91,97
4,58,99,95
4,63,91,105
4,61,96,100
4,60,96,96
4,58,99,91
4,58,100,99
4,56,95,100
4,55,96,100
4,53,99,99
4,51,99,99
4,51,101,100
4,50,102,98
4,54,100,97
4,55,100,97
4,65,95,95
4,63,97,98
4,60,100,99
4,59,98,97
4,61,95,96
4,52,94,108
4,51,95,106
4,48,98,107
4,31,106,112
4,30,107,113
4,49,99,108
4,47,99,110
4,35,106,110
4,42,100,114
4,39,101,114
4,32,105,114
4,36,106,116
4,33,108,111
4,43,104,107
4,41,101,109
4,42,98,111
4,42,95,111
4,72,100,81
4,72,100,81
4,64,104,86
4,60,105,88
4,60,105,90
4,58,104,91
4,64,104,86
4,60,105,88
4,63,105,86
4,66,101,87
4,69,103,82
4,66,102,85
4,64,106,84
4,64,105,85
4,62,104,88
4,63,104,86
4,63,104,86
4,61,107,86
4,63,105,85
4,64,104,85
4,71,100,83
4,71,100,83
5,108,69,76
5,109,68,76
5,110,69,75
5,111,69,73
5,113,69,72
