location	locationLabel	countryLabel
http://www.wikidata.org/entity/Q4348917	Norra Djurgården	Sweden
http://www.wikidata.org/entity/Q41778642	British Museum	United Kingdom
http://www.wikidata.org/entity/Q183	Germany	Germany
http://www.wikidata.org/entity/Q25287	Gothenburg	Sweden
http://www.wikidata.org/entity/Q2167	Lund	Sweden
http://www.wikidata.org/entity/Q1754	Stockholm	Sweden
http://www.wikidata.org/entity/Q656	Saint Petersburg	Russia
http://www.wikidata.org/entity/Q25286	Uppsala	Sweden
http://www.wikidata.org/entity/Q179815	Durham	United Kingdom
http://www.wikidata.org/entity/Q3646335	Vasastaden	Sweden
http://www.wikidata.org/entity/Q49111	Cambridge	United States of America
http://www.wikidata.org/entity/Q350	Cambridge	United Kingdom
http://www.wikidata.org/entity/Q1707	Kiel	Germany
http://www.wikidata.org/entity/Q1772186	Kruununhaka	Finland
http://www.wikidata.org/entity/Q26793	Bergen	Norway
http://www.wikidata.org/entity/Q47887	Nijmegen	Netherlands
http://www.wikidata.org/entity/Q3150	Jena	Germany
http://www.wikidata.org/entity/Q585	Oslo	Norway
http://www.wikidata.org/entity/Q38511	Turku	Finland
http://www.wikidata.org/entity/Q1781556	Gärdet	Sweden
http://www.wikidata.org/entity/Q10719196	Wallingatan	Sweden
http://www.wikidata.org/entity/Q26476	Sundsvall	Sweden
http://www.wikidata.org/entity/Q482055	Acton	Australia
http://www.wikidata.org/entity/Q298489	Östermalm	Sweden
http://www.wikidata.org/entity/Q84	London	United Kingdom
http://www.wikidata.org/entity/Q926728	Bromma	Sweden
http://www.wikidata.org/entity/Q3114	Canberra	Australia
http://www.wikidata.org/entity/Q10725885	Änggården	Sweden
http://www.wikidata.org/entity/Q25579	Umeå	Sweden
http://www.wikidata.org/entity/Q26515	Östersund	Sweden
http://www.wikidata.org/entity/Q32253035	Huddinge	Sweden
http://www.wikidata.org/entity/Q26345	Kalmar	Sweden
http://www.wikidata.org/entity/Q123766	Charlottesville	United States of America
http://www.wikidata.org/entity/Q265682	Vadstena	Sweden
http://www.wikidata.org/entity/Q5242576	Universitetsholmen	Sweden
http://www.wikidata.org/entity/Q26262688	University of Leeds Campus	United Kingdom
http://www.wikidata.org/entity/Q2211	Malmö	Sweden
http://www.wikidata.org/entity/Q26152	Växjö	Sweden
http://www.wikidata.org/entity/Q10683761	Sundbybergs stad	Sweden
http://www.wikidata.org/entity/Q150120	Bloomsbury	United Kingdom
http://www.wikidata.org/entity/Q213465	Guildford	United Kingdom
http://www.wikidata.org/entity/Q23169	Oxfordshire	United Kingdom
http://www.wikidata.org/entity/Q34217	Oxford	United Kingdom
http://www.wikidata.org/entity/Q25413	Linköping	Sweden
http://www.wikidata.org/entity/Q21166	Skövde	Sweden
http://www.wikidata.org/entity/Q25789	Karlskrona	Sweden
http://www.wikidata.org/entity/Q26937	Kristianstad	Sweden
http://www.wikidata.org/entity/Q25457	Karlstad	Sweden
http://www.wikidata.org/entity/Q54339	Trollhättan	Sweden
http://www.wikidata.org/entity/Q25724	Norrköping	Sweden
http://www.wikidata.org/entity/Q26040	Borås	Sweden
