organisation	organisationLabel	location
http://www.wikidata.org/entity/Q218506	Lund University	http://www.wikidata.org/entity/Q2167
http://www.wikidata.org/entity/Q221645	Stockholm University	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q371522	University of Gothenburg	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q854280	Royal Institute of Technology	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q752038	Uppsala Astronomical Observatory	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q185246	Uppsala University	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q1312762	Swedish University of Agricultural Sciences	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q1420103	Swedish Museum of Natural History	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q49108	Massachusetts Institute of Technology	http://www.wikidata.org/entity/Q49111
http://www.wikidata.org/entity/Q1061504	Stockholm School of Economics	http://www.wikidata.org/entity/Q3646335
http://www.wikidata.org/entity/Q458393	Durham University	http://www.wikidata.org/entity/Q179815
http://www.wikidata.org/entity/Q219564	Karolinska Institute	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q1420103	Swedish Museum of Natural History	http://www.wikidata.org/entity/Q4348917
http://www.wikidata.org/entity/Q6373	British Museum	http://www.wikidata.org/entity/Q41778642
http://www.wikidata.org/entity/Q154804	Leipzig University	http://www.wikidata.org/entity/Q183
http://www.wikidata.org/entity/Q4345832	Saint Petersburg Academy of Sciences	http://www.wikidata.org/entity/Q656
http://www.wikidata.org/entity/Q2755982	Uppsala Botanical Garden	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q156737	University of Kiel	http://www.wikidata.org/entity/Q1707
http://www.wikidata.org/entity/Q204457	University of Bergen	http://www.wikidata.org/entity/Q26793
http://www.wikidata.org/entity/Q632004	Radboud University Nijmegen	http://www.wikidata.org/entity/Q47887
http://www.wikidata.org/entity/Q2841849	Ruotsin Helsingin-suurlähetystö	http://www.wikidata.org/entity/Q1772186
http://www.wikidata.org/entity/Q154561	University of Jena	http://www.wikidata.org/entity/Q3150
http://www.wikidata.org/entity/Q474816	Geological Survey of Sweden	http://www.wikidata.org/entity/Q25286
http://www.wikidata.org/entity/Q917874	Åbo Akademi University	http://www.wikidata.org/entity/Q38511
http://www.wikidata.org/entity/Q486156	University of Oslo	http://www.wikidata.org/entity/Q585
http://www.wikidata.org/entity/Q1371375	Museum of Ethnography	http://www.wikidata.org/entity/Q1781556
http://www.wikidata.org/entity/Q1371375	Museum of Ethnography	http://www.wikidata.org/entity/Q10719196
http://www.wikidata.org/entity/Q459506	University of Bristol	http://www.wikidata.org/entity/Q23154
http://www.wikidata.org/entity/Q836805	Chalmers University of Technology	http://www.wikidata.org/entity/Q25287
http://www.wikidata.org/entity/Q977781	Malmö University	http://www.wikidata.org/entity/Q2211
http://www.wikidata.org/entity/Q1163548	Blekinge Institute of Technology	http://www.wikidata.org/entity/Q25789
http://www.wikidata.org/entity/Q34433	University of Oxford	http://www.wikidata.org/entity/Q23169
http://www.wikidata.org/entity/Q34433	University of Oxford	http://www.wikidata.org/entity/Q34217
http://www.wikidata.org/entity/Q1045828	University of East Anglia	http://www.wikidata.org/entity/Q130191
http://www.wikidata.org/entity/Q977781	Malmö University	http://www.wikidata.org/entity/Q5242576
http://www.wikidata.org/entity/Q1414861	University of Exeter	http://www.wikidata.org/entity/Q7594039
http://www.wikidata.org/entity/Q1414861	University of Exeter	http://www.wikidata.org/entity/Q7622729
http://www.wikidata.org/entity/Q1414861	University of Exeter	http://www.wikidata.org/entity/Q7895385
http://www.wikidata.org/entity/Q198678	Swedish Radiation Safety Authority	http://www.wikidata.org/entity/Q54758
http://www.wikidata.org/entity/Q1782926	Konstfack	http://www.wikidata.org/entity/Q1781556
http://www.wikidata.org/entity/Q1782926	Konstfack	http://www.wikidata.org/entity/Q1781652
http://www.wikidata.org/entity/Q782600	Linköping University	http://www.wikidata.org/entity/Q25413
http://www.wikidata.org/entity/Q2822454	Royal Swedish Academy of Agriculture and Forestry	http://www.wikidata.org/entity/Q3646335
http://www.wikidata.org/entity/Q1144565	Umeå University	http://www.wikidata.org/entity/Q25579
http://www.wikidata.org/entity/Q3355352	Royal Institute of Art	http://www.wikidata.org/entity/Q10670072
http://www.wikidata.org/entity/Q1782926	Konstfack	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q6554447	Linköping University Hospital	http://www.wikidata.org/entity/Q25413
http://www.wikidata.org/entity/Q3355352	Royal Institute of Art	http://www.wikidata.org/entity/Q1754
http://www.wikidata.org/entity/Q1972721	Luleå University of Technology	http://www.wikidata.org/entity/Q7230430
http://www.wikidata.org/entity/Q953058	National Library of Sweden	http://www.wikidata.org/entity/Q298489
http://www.wikidata.org/entity/Q1464114	University of Skövde	http://www.wikidata.org/entity/Q21166
