person	personLabel	university	location	organisation
http://www.wikidata.org/entity/Q1043	Carl Linnaeus	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q927776	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q1267	Dag Hammarskjöld	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10542132	http://www.wikidata.org/entity/Q1065
http://www.wikidata.org/entity/Q1267	Dag Hammarskjöld	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10542132	http://www.wikidata.org/entity/Q1774229
http://www.wikidata.org/entity/Q15410	Theodor Magnus Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10494613	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q15410	Theodor Magnus Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10494613	http://www.wikidata.org/entity/Q2755982
http://www.wikidata.org/entity/Q15414	Klas Robert Elias Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q15414	Klas Robert Elias Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q15414	Klas Robert Elias Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q819811
http://www.wikidata.org/entity/Q15414	Klas Robert Elias Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q1420103
http://www.wikidata.org/entity/Q15414	Klas Robert Elias Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q2755982
http://www.wikidata.org/entity/Q15417	Thore Christian Elias Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q15417	Thore Christian Elias Fries	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q27684	Peter Forsskål	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1757	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q39658	Carl Peter Thunberg	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25415	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q39789	Daniel Solander	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10632414	http://www.wikidata.org/entity/Q6373
http://www.wikidata.org/entity/Q39789	Daniel Solander	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10632414	http://www.wikidata.org/entity/Q153408
http://www.wikidata.org/entity/Q39789	Daniel Solander	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10632414	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q47088	Carl David af Wirsén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q7102931	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q52950	Louis de Geer the Elder	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10655757	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q52950	Louis de Geer the Elder	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10655757	http://www.wikidata.org/entity/Q218506
http://www.wikidata.org/entity/Q53300	Hjalmar Hammarskjöld	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10706262	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q53310	Nils Edén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q21169	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q53633	Ernst Trygger	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q849086	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q53637	Rickard Sandler	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10700437	http://www.wikidata.org/entity/Q371522
http://www.wikidata.org/entity/Q54945	Hannes Alfvén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25724	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q54945	Hannes Alfvén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25724	http://www.wikidata.org/entity/Q622664
http://www.wikidata.org/entity/Q54945	Hannes Alfvén	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25724	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q61318	August Ludwig von Schlözer	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q82372	http://www.wikidata.org/entity/Q152838
http://www.wikidata.org/entity/Q77432	Johann Gottlieb Georgi	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1501167	http://www.wikidata.org/entity/Q4345832
http://www.wikidata.org/entity/Q80956	Svante August Arrhenius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10425277	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q80956	Svante August Arrhenius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10425277	http://www.wikidata.org/entity/Q221645
http://www.wikidata.org/entity/Q80956	Svante August Arrhenius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10425277	http://www.wikidata.org/entity/Q411895
http://www.wikidata.org/entity/Q81130	Anders Celsius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25286	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q92756	Johan Håstad	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q34	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q151911	Jöns Jacob Berzelius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1451001	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q151911	Jöns Jacob Berzelius	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1451001	http://www.wikidata.org/entity/Q219564
http://www.wikidata.org/entity/Q152437	Alva Myrdal	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10710237	http://www.wikidata.org/entity/Q1065
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10705688	http://www.wikidata.org/entity/Q154804
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10705688	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q159723	Nathan Söderblom	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10705688	http://www.wikidata.org/entity/Q749243
http://www.wikidata.org/entity/Q162688	Johann Christian Daniel von Schreber	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q529798	http://www.wikidata.org/entity/Q40025
http://www.wikidata.org/entity/Q162688	Johann Christian Daniel von Schreber	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q529798	http://www.wikidata.org/entity/Q1662834
http://www.wikidata.org/entity/Q167112	Bernhard Karlgren	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25415	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q167112	Bernhard Karlgren	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q25415	http://www.wikidata.org/entity/Q371522
http://www.wikidata.org/entity/Q170342	Svante Pääbo	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q55044
http://www.wikidata.org/entity/Q170342	Svante Pääbo	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q682926
http://www.wikidata.org/entity/Q174998	Ivar Otto Bendixson	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10612973	http://www.wikidata.org/entity/Q854280
http://www.wikidata.org/entity/Q178823	Carl Linnaeus the Younger	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q10493877	http://www.wikidata.org/entity/Q185246
http://www.wikidata.org/entity/Q178916	Vagn Walfrid Ekman	http://www.wikidata.org/entity/Q185246	http://www.wikidata.org/entity/Q1754	http://www.wikidata.org/entity/Q218506
