university,universityLabel,location,locationLabel,time
http://www.wikidata.org/entity/Q185246,Uppsala University,http://www.wikidata.org/entity/Q25286,Uppsala,1477-01-01T00:00:00Z
http://www.wikidata.org/entity/Q371522,University of Gothenburg,http://www.wikidata.org/entity/Q25287,Gothenburg,1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q218506,Lund University,http://www.wikidata.org/entity/Q2167,Lund,1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q219564,Karolinska Institute,http://www.wikidata.org/entity/Q1754,Stockholm,1810-01-01T00:00:00Z
http://www.wikidata.org/entity/Q221645,Stockholm University,http://www.wikidata.org/entity/Q1754,Stockholm,1878-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1312762,Swedish University of Agricultural Sciences,http://www.wikidata.org/entity/Q25286,Uppsala,1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q782600,Linköping University,http://www.wikidata.org/entity/Q25413,Linköping,1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q836805,Chalmers University of Technology,http://www.wikidata.org/entity/Q25287,Gothenburg,1829-01-01T00:00:00Z
http://www.wikidata.org/entity/Q854280,Royal Institute of Technology,http://www.wikidata.org/entity/Q1754,Stockholm,1827-01-01T00:00:00Z
http://www.wikidata.org/entity/Q977781,Malmö University,http://www.wikidata.org/entity/Q2211,Malmö,1998-07-01T00:00:00Z
http://www.wikidata.org/entity/Q977781,Malmö University,http://www.wikidata.org/entity/Q5242576,Universitetsholmen,1998-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1144565,Umeå University,http://www.wikidata.org/entity/Q25579,Umeå,1965-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1751928,Linnaeus University,http://www.wikidata.org/entity/Q26152,Växjö,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1751928,Linnaeus University,http://www.wikidata.org/entity/Q26345,Kalmar,2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1858061,Karlstad University,http://www.wikidata.org/entity/Q25457,Karlstad,1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1940803,Mid Sweden University,http://www.wikidata.org/entity/Q26476,Sundsvall,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1940803,Mid Sweden University,http://www.wikidata.org/entity/Q26515,Östersund,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1972721,Luleå University of Technology,http://www.wikidata.org/entity/Q26268,Luleå,1971-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1972721,Luleå University of Technology,http://www.wikidata.org/entity/Q7230430,Porsön,1971-07-01T00:00:00Z
http://www.wikidata.org/entity/Q2002420,Örebro University,http://www.wikidata.org/entity/Q25732,Örebro,1977-01-01T00:00:00Z
