university	universityLabel	location	founded
http://www.wikidata.org/entity/Q218506	Lund University	http://www.wikidata.org/entity/Q2167	1666-12-19T00:00:00Z
http://www.wikidata.org/entity/Q2002420	Örebro University	http://www.wikidata.org/entity/Q25732	1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1972721	Luleå University of Technology	http://www.wikidata.org/entity/Q7230430	1971-07-01T00:00:00Z
http://www.wikidata.org/entity/Q854280	Royal Institute of Technology	http://www.wikidata.org/entity/Q1754	1827-01-01T00:00:00Z
http://www.wikidata.org/entity/Q977781	Malmö University	http://www.wikidata.org/entity/Q5242576	1998-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1751928	Linnaeus University	http://www.wikidata.org/entity/Q26152	2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1751928	Linnaeus University	http://www.wikidata.org/entity/Q26345	2010-01-01T00:00:00Z
http://www.wikidata.org/entity/Q371522	University of Gothenburg	http://www.wikidata.org/entity/Q25287	1954-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1858061	Karlstad University	http://www.wikidata.org/entity/Q25457	1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1312762	Swedish University of Agricultural Sciences	http://www.wikidata.org/entity/Q25286	1977-01-01T00:00:00Z
http://www.wikidata.org/entity/Q221645	Stockholm University	http://www.wikidata.org/entity/Q1754	1878-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1144565	Umeå University	http://www.wikidata.org/entity/Q25579	1965-01-01T00:00:00Z
http://www.wikidata.org/entity/Q782600	Linköping University	http://www.wikidata.org/entity/Q25413	1975-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1972721	Luleå University of Technology	http://www.wikidata.org/entity/Q26268	1971-07-01T00:00:00Z
http://www.wikidata.org/entity/Q219564	Karolinska Institute	http://www.wikidata.org/entity/Q1754	1810-01-01T00:00:00Z
http://www.wikidata.org/entity/Q977781	Malmö University	http://www.wikidata.org/entity/Q2211	1998-07-01T00:00:00Z
http://www.wikidata.org/entity/Q1940803	Mid Sweden University	http://www.wikidata.org/entity/Q26476	1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1940803	Mid Sweden University	http://www.wikidata.org/entity/Q26515	1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q836805	Chalmers University of Technology	http://www.wikidata.org/entity/Q25287	1829-01-01T00:00:00Z
http://www.wikidata.org/entity/Q185246	Uppsala University	http://www.wikidata.org/entity/Q25286	1477-01-01T00:00:00Z
