personLabel,universityLabel,organisationLabel
Ivar Otto Bendixson,Uppsala University,Royal Institute of Technology
Nathan Söderblom,Uppsala University,Uppsala University
Hannes Alfvén,Uppsala University,Royal Institute of Technology
Johann Gottlieb Georgi,Uppsala University,Saint Petersburg Academy of Sciences
Nathan Söderblom,Uppsala University,Leipzig University
Bengt Edlén,Uppsala University,Lund University
Bernhard Karlgren,Uppsala University,Uppsala University
Åke Wallenquist,Uppsala University,Uppsala University
Carl Linnaeus,Uppsala University,Uppsala University
Carl Linnaeus the Younger,Uppsala University,Uppsala University
Hannes Alfvén,Uppsala University,Uppsala University
Jöns Jacob Berzelius,Uppsala University,Karolinska Institute
Allvar Gullstrand,Uppsala University,Uppsala University
Östen Undén,Uppsala University,Uppsala University
Bernhard Karlgren,Uppsala University,University of Gothenburg
Östen Undén,Uppsala University,Lund University
Johan Håstad,Uppsala University,Royal Institute of Technology
Rickard Sandler,Uppsala University,University of Gothenburg
Theodor Magnus Fries,Uppsala University,Uppsala University
Klas Robert Elias Fries,Uppsala University,Swedish Museum of Natural History
Emmanuel Swedenborg,Uppsala University,Uppsala University
Klas Robert Elias Fries,Uppsala University,Uppsala University
Carl Peter Thunberg,Uppsala University,Uppsala University
Henning Pleijel,Uppsala University,Royal Institute of Technology
Ernst Trygger,Uppsala University,Uppsala University
Klas Robert Elias Fries,Uppsala University,Stockholm University
Theodor Svedberg,Uppsala University,Uppsala University
Magnus Alkarp,Uppsala University,Uppsala University
Thore Christian Elias Fries,Uppsala University,Uppsala University
Torbern Bergman,Uppsala University,Uppsala University
Östen Bergstrand,Uppsala University,Uppsala University
Svante August Arrhenius,Uppsala University,Uppsala University
Kai Siegbahn,Uppsala University,Royal Institute of Technology
Peter Forsskål,Uppsala University,Uppsala University
Thore Christian Elias Fries,Uppsala University,Lund University
Carl David af Wirsén,Uppsala University,Uppsala University
Hjalmar Hammarskjöld,Uppsala University,Uppsala University
Louis de Geer the Elder,Uppsala University,Uppsala University
Svante August Arrhenius,Uppsala University,Stockholm University
Vagn Walfrid Ekman,Uppsala University,Lund University
Anders Jonas Ångström,Uppsala University,Uppsala University
Kai Siegbahn,Uppsala University,Uppsala University
Anders Jonas Ångström,Uppsala University,Uppsala Astronomical Observatory
Theodor Magnus Fries,Uppsala University,Uppsala Botanical Garden
Louis de Geer the Elder,Uppsala University,Lund University
Jöns Jacob Berzelius,Uppsala University,Uppsala University
Daniel Solander,Uppsala University,British Museum
Anders Celsius,Uppsala University,Uppsala University
Klas Robert Elias Fries,Uppsala University,Uppsala Botanical Garden
Daniel Solander,Uppsala University,Uppsala University
Arne Tiselius,Uppsala University,Uppsala University
Nils Edén,Uppsala University,Uppsala University
Ingemar Hedenius,Uppsala University,Uppsala University
Bertil Lindblad,Uppsala University,Uppsala University
Olaus Rudbeck,Uppsala University,Uppsala University
Sigfridus Aronus Forsius,Uppsala University,Uppsala University
Bertil Lindblad,Uppsala University,Uppsala Astronomical Observatory
Claes-Ingvar Lagerkvist,Uppsala University,Uppsala University
Einar Billing,Uppsala University,Uppsala University
Karl Gustav Jöreskog,Uppsala University,Uppsala University
Johnny Roosval,Uppsala University,Stockholm University
Hugo Alfvén,Uppsala University,Uppsala University
Gösta Mittag-Leffler,Uppsala University,Stockholm University
Carl August Hagberg,Uppsala University,Uppsala University
Per Teodor Cleve,Uppsala University,Uppsala University
Fredrik Ferdinand Carlson,Uppsala University,Uppsala University
Erik Ivar Fredholm,Uppsala University,Stockholm University
David Enskog,Uppsala University,Royal Institute of Technology
Carl August Hagberg,Uppsala University,Lund University
Rudolf Kjellén,Uppsala University,Uppsala University
Peter Englund,Uppsala University,Uppsala University
Anders Gustaf Ekeberg,Uppsala University,Uppsala University
Gunnar Helén,Uppsala University,Stockholm University
Knut Wicksell,Uppsala University,Lund University
Rudolf Kjellén,Uppsala University,University of Gothenburg
Jakob Ulvsson,Uppsala University,Uppsala University
Helge von Koch,Uppsala University,Royal Institute of Technology
Lennart Carleson,Uppsala University,Royal Institute of Technology
Rolf Sievert,Uppsala University,Karolinska Institute
Mathias Steuchius,Uppsala University,Uppsala University
Erik Edlund,Uppsala University,Royal Institute of Technology
Lennart Carleson,Uppsala University,Uppsala University
Helge von Koch,Uppsala University,Stockholm University
James Finlay Weir Johnston,Uppsala University,Durham University
Oskar Backlund,Uppsala University,Uppsala University
Adolf Törneros,Uppsala University,Uppsala University
Erik Gustaf Geijer,Uppsala University,Uppsala University
Håkan Lans,Uppsala University,Stockholm University
Lennart Carleson,Uppsala University,Massachusetts Institute of Technology
Otto Nordenskjöld,Uppsala University,Uppsala University
Per Daniel Amadeus Atterbom,Uppsala University,Uppsala University
Gustaf Oskar Andersson Malme,Uppsala University,Swedish Museum of Natural History
Eli Heckscher,Uppsala University,Stockholm University
Johan Emanuel Wikström,Uppsala University,Uppsala University
Per Alström,Uppsala University,Swedish University of Agricultural Sciences
Gustaf Oskar Andersson Malme,Uppsala University,Uppsala University
Lars Fredrik Nilson,Uppsala University,Uppsala University
Otto Nordenskjöld,Uppsala University,University of Gothenburg
Carl Charlier,Uppsala University,Uppsala University
Andreas Gyldenklou,Uppsala University,Uppsala University
Bertil Lundman,Uppsala University,Uppsala University
Eli Heckscher,Uppsala University,Stockholm School of Economics
Carl Charlier,Uppsala University,Lund University
Einar Gjerstad,Uppsala University,Lund University
Stig Strömholm,Uppsala University,Uppsala University
Efraim Liljequist,Uppsala University,Lund University
Efraim Liljequist,Uppsala University,University of Gothenburg
Carl Skottsberg,Uppsala University,Gothenburg Botanical Garden
Matthias Norberg,Uppsala University,Uppsala University
Sten Selander,Uppsala University,Uppsala University
Jacob Benzelius,Uppsala University,Lund University
Waloddi Weibull,Uppsala University,Royal Institute of Technology
Carl Larsson Kämpe,Uppsala University,National Library of Sweden
Carl Johan Malmsten,Uppsala University,Uppsala University
Matthias Norberg,Uppsala University,Lund University
Gustav Cassel,Uppsala University,Stockholm University
Henrik Samuel Nyberg,Uppsala University,Uppsala University
Oscar Almgren,Uppsala University,Uppsala University
Lars Edvard Phragmén,Uppsala University,Stockholm University
Göran Malmqvist,Uppsala University,Australian National University
Yngve Larsson,Uppsala University,Uppsala University
Michael Eneman,Uppsala University,Uppsala University
Dag Hartelius,Uppsala University,National Defence Radio Establishment
Carl-Gustav Esseen,Uppsala University,Royal Institute of Technology
Erik Benzelius the Elder,Uppsala University,Uppsala University
Nils Christoffer Dunér,Uppsala University,Uppsala University
Geo Widengren,Uppsala University,Uppsala University
Johan Gottschalk Wallerius,Uppsala University,Uppsala University
Olof Celsius,Uppsala University,Uppsala University
Tor Andræ,Uppsala University,Uppsala University
Johannes Gezelius the elder,Uppsala University,Uppsala University
Carl-Gustav Esseen,Uppsala University,Uppsala University
Nils Christoffer Dunér,Uppsala University,Lund University
Gabriel Gustafson,Uppsala University,University of Bergen
Gabriel Gustafson,Uppsala University,Uppsala University
Gabriel Gustafson,Uppsala University,University of Oslo
Tor Andræ,Uppsala University,Stockholm University
Nils Strindberg,Uppsala University,Stockholm University
Samuel Klingenstierna,Uppsala University,Uppsala University
Johan Gunnar Andersson,Uppsala University,Stockholm University
Arvid Lindström,Uppsala University,Royal Institute of Technology
Magnus Blix,Uppsala University,Uppsala University
Carl Johan Tornberg,Uppsala University,Lund University
Rutger Sernander,Uppsala University,Uppsala University
Peter Jacob Hjelm,Uppsala University,Uppsala University
Magnus Gabriel De la Gardie,Uppsala University,Uppsala University
Harald Bergström,Uppsala University,Uppsala University
Gunnar Säve-Söderbergh,Uppsala University,Uppsala University
Magnus Blix,Uppsala University,Lund University
Carl Skottsberg,Uppsala University,Uppsala University
Erik Benzelius the younger,Uppsala University,Uppsala University
Tamerlan Thorell,Uppsala University,Uppsala University
Gunnar Heckscher,Uppsala University,Uppsala University
Knut Lundmark,Uppsala University,Lund University
Carl-Henry Alström,Uppsala University,Karolinska Institute
Erik Stensiö,Uppsala University,Uppsala University
Albert Atterberg,Uppsala University,Uppsala University
Gunnar Heckscher,Uppsala University,Stockholm University
Efraim Liljequist,Uppsala University,Uppsala University
Eric Gustaf Lidbeck,Uppsala University,Lund University
Carl Wilhelm Samuel Aurivillius,Uppsala University,Uppsala University
Harald Bergström,Uppsala University,Chalmers University of Technology
Göran Malmqvist,Uppsala University,Stockholm University
Anders Spole,Uppsala University,Lund University
Abraham Langlet,Uppsala University,Uppsala University
Carl Bovallius,Uppsala University,Uppsala University
Anders Knutsson Ångström,Uppsala University,Stockholm University
Henrik Schück,Uppsala University,Uppsala University
Nils Carl Gustaf Fersen Gyldenstolpe,Uppsala University,Swedish Museum of Natural History
Percy Dudgeon Quensel,Uppsala University,Uppsala University
Henrik Schück,Uppsala University,Lund University
Birger Ekeberg,Uppsala University,Stockholm University
Percy Dudgeon Quensel,Uppsala University,Stockholm University
Peter Whittle,Uppsala University,University of Cambridge
Christian Eric Fahlcrantz,Uppsala University,Uppsala University
Jacob Axel Josephson,Uppsala University,Uppsala University
Otto Steiger,Uppsala University,University of Latvia
Abraham Langlet,Uppsala University,Chalmers University of Technology
Johan Vising,Uppsala University,University of Gothenburg
Nils Wohlin,Uppsala University,Uppsala University
Finn Malmgren,Uppsala University,Uppsala University
Salomon Eberhard Henschen,Uppsala University,Uppsala University
Peter Whittle,Uppsala University,University of Manchester
Birger Ekeberg,Uppsala University,Stockholm School of Economics
Jan G. Waldenström,Uppsala University,Uppsala University
Herman Schultz,Uppsala University,Uppsala University
Aleksander Loit,Uppsala University,Uppsala University
Fredrik Adam Smitt,Uppsala University,Uppsala University
Jan G. Waldenström,Uppsala University,Lund University
John Axel Nannfeldt,Uppsala University,Uppsala University
Christian Peder Bianco Boeck,Uppsala University,University of Oslo
Aleksander Loit,Uppsala University,Stockholm University
Fredrik Adam Smitt,Uppsala University,Stockholm University
Harald Hjärne,Uppsala University,Uppsala University
Ivar Afzelius,Uppsala University,Uppsala University
Yngve Brilioth,Uppsala University,Åbo Akademi University
Lars Anton Anjou,Uppsala University,Uppsala University
Johannes Rudbeckius,Uppsala University,Uppsala University
Oscar Alin,Uppsala University,Uppsala University
Torgny Segerstedt,Uppsala University,Lund University
Sven Berggren,Uppsala University,Uppsala University
Warwick Tucker,Uppsala University,Uppsala University
Yngve Brilioth,Uppsala University,Uppsala University
Salomon Eberhard Henschen,Uppsala University,Karolinska Institute
Adolf Noreen,Uppsala University,Uppsala University
Per von Afzelius,Uppsala University,Uppsala University
Sven Berggren,Uppsala University,Lund University
Yngve Brilioth,Uppsala University,Lund University
Nils Ahnlund,Uppsala University,Stockholm University
Carl Gustaf Malmström,Uppsala University,Uppsala University
Johan Adam Tingstadius,Uppsala University,Uppsala University
Johan Waldenström,Uppsala University,Uppsala University
Anders Spole,Uppsala University,Uppsala University
Nils Hylander,Uppsala University,Uppsala University
Hans Forssell,Uppsala University,Uppsala University
Stefan Bengtson,Uppsala University,Swedish Museum of Natural History
